Date,"Time"
2021-06-01,2005
2021-06-02,1982
2021-06-03,2122
2021-06-04,2016
2021-06-05,1803
2021-06-06,2611
2021-06-07,3220
2021-06-08,2891
2021-06-09,2744
2021-06-10,2547
2021-06-11,2229
2021-06-12,2121
2021-06-13,2328
2021-06-14,2460
2021-06-15,2313
2021-06-16,2398
2021-06-17,2368
2021-06-18,2181
2021-06-19,2049
2021-06-20,2804
2021-06-21,2436
2021-06-22,2318
2021-06-23,2233
2021-06-24,2325
2021-06-25,2135
2021-06-26,2111
2021-06-27,2041
2021-06-28,2232
2021-06-29,2352
2021-06-30,2276
2021-07-01,3730
2021-07-02,3517
2021-07-03,3799
2021-07-04,3743
2021-07-05,3577
2021-07-06,3474
2021-07-07,3481
2021-07-08,3341
2021-07-09,4086
2021-07-10,3856
2021-07-11,3625
2021-07-12,3259
2021-07-13,3221
2021-07-14,3411
2021-07-15,3289
2021-07-16,2945
2021-07-17,3284
2021-07-18,3829
2021-07-19,3878
2021-07-20,3491
2021-07-21,2861
2021-07-22,3115
2021-07-23,3007
2021-07-24,2883
2021-07-25,2598
2021-07-26,2914
2021-07-27,3146
2021-07-28,2923
2021-07-29,3028
2021-07-30,2942
2021-07-31,2701
2021-08-01,2798
2021-08-02,3094
2021-08-03,2800
2021-08-04,3266
2021-08-05,3298
2021-08-06,2792
2021-08-07,3108
2021-08-08,2844
2021-08-09,3472
2021-08-10,3220
2021-08-11,3321
2021-08-12,3189
2021-08-13,2641
2021-08-14,2957
2021-08-15,2906
2021-08-16,3105
2021-08-17,2870
2021-08-18,3131
2021-08-19,3629
2021-08-20,3504
2021-08-21,3354
2021-08-22,3330
2021-08-23,4146
2021-08-24,4186
2021-08-25,3475
2021-08-26,3258
2021-08-27,3452
2021-08-28,3072
2021-08-29,3219
2021-08-30,3224
2021-08-31,3075
2021-09-01,3638
2021-09-02,3394
2021-09-03,3909
2021-09-04,3380
2021-09-05,3316
2021-09-06,3924
2021-09-07,4260
2021-09-08,3957
2021-09-09,3871
2021-09-10,3359
2021-09-11,3221
2021-09-12,3426
2021-09-13,4249
2021-09-14,4198
2021-09-15,3917
2021-09-16,3772
2021-09-17,3538
2021-09-18,3393
2021-09-19,3538
2021-09-20,4169
2021-09-21,4044
2021-09-22,4242
2021-09-23,4149
2021-09-24,3909
2021-09-25,3289
2021-09-26,3309
2021-09-27,4138
2021-09-28,5164
2021-09-29,4407
2021-09-30,4183
2021-10-01,3527
2021-10-02,3392
2021-10-03,3151
2021-10-04,3892
2021-10-05,3572
2021-10-06,4176
2021-10-07,3857
2021-10-08,4108
2021-10-09,3449
2021-10-10,3418
2021-10-11,4118
2021-10-12,4149
2021-10-13,3968
2021-10-14,3842
2021-10-15,3544
2021-10-16,3353
2021-10-17,3500
2021-10-18,3644
2021-10-19,3787
2021-10-20,3545
2021-10-21,3896
2021-10-22,3701
2021-10-23,3094
2021-10-24,3063
2021-10-25,3348
2021-10-26,3733
2021-10-27,3511
2021-10-28,3597
2021-10-29,3423
2021-10-30,3171
2021-10-31,3695
2021-11-01,3694
2021-11-02,3474
2021-11-03,3632
2021-11-04,3532
2021-11-05,3342
2021-11-06,3303
2021-11-07,4209
2021-11-08,4777
2021-11-09,4351
2021-11-10,4065
2021-11-11,3757
2021-11-12,3365
2021-11-13,2802
2021-11-14,3389
2021-11-15,3889
2021-11-16,3795
2021-11-17,4038
2021-11-18,4019
2021-11-19,3675
2021-11-20,3606
2021-11-21,3379
2021-11-22,4309
2021-11-23,4149
2021-11-24,3905
2021-11-25,4339
2021-11-26,3734
2021-11-27,3148
2021-11-28,3603
2021-11-29,3875
2021-11-30,3524
2021-12-01,4324
2021-12-02,4260
2021-12-03,3640
2021-12-04,3546
2021-12-05,3668
2021-12-06,3983
2021-12-07,4249
2021-12-08,4386
2021-12-09,4360
2021-12-10,3997
2021-12-11,3526
2021-12-12,3382
2021-12-13,4163
2021-12-14,3950
2021-12-15,3543
2021-12-16,3134
2021-12-17,2685
2021-12-18,2865
2021-12-19,2748
2021-12-20,3416
2021-12-21,3028
2021-12-22,3232
2021-12-23,2851
2021-12-24,3416
2021-12-25,2553
2021-12-26,3083
2021-12-27,3242
2021-12-28,2202
2021-12-29,3264
2021-12-30,3137
2021-12-31,4349
2022-01-01,3476
2022-01-02,3354
2022-01-03,3815
2022-01-04,4053
2022-01-05,3879
2022-01-06,3898
2022-01-07,3093
2022-01-08,2784
2022-01-09,2902
2022-01-10,3228
2022-01-11,3978
2022-01-12,4225
2022-01-13,4095
2022-01-14,3803
2022-01-15,3054
2022-01-16,3386
2022-01-17,4000
2022-01-18,4264
2022-01-19,4411
2022-01-20,4509
2022-01-21,3570
2022-01-22,3461
2022-01-23,3918
2022-01-24,4843
2022-01-25,4195
2022-01-26,4478
2022-01-27,4237
2022-01-28,4340
2022-01-29,3492
2022-01-30,3465
2022-01-31,4244
2022-02-01,4553
2022-02-02,4136
2022-02-03,4016
2022-02-04,3816
2022-02-05,3562
2022-02-06,3329
2022-02-07,4507
2022-02-08,4256
2022-02-09,4721
2022-02-10,3852
2022-02-11,3697
2022-02-12,3420
2022-02-13,3295
2022-02-14,4172
2022-02-15,4077
2022-02-16,4292
2022-02-17,3933
2022-02-18,3474
2022-02-19,3823
2022-02-20,3710
2022-02-21,3789
2022-02-22,3885
2022-02-23,3685
2022-02-24,3404
2022-02-25,3294
2022-02-26,2601
2022-02-27,2640
2022-02-28,2914
2022-03-01,2714
2022-03-02,3151
2022-03-03,2684
2022-03-04,2498
2022-03-05,2525
2022-03-06,2669
2022-03-07,3168
2022-03-08,3306
2022-03-09,2988
2022-03-10,3312
2022-03-11,3880
2022-03-12,2765
2022-03-13,3414
2022-03-14,4087
2022-03-15,3310
2022-03-16,3489
2022-03-17,3117
2022-03-18,2675
2022-03-19,3123
2022-03-20,3250
2022-03-21,3485
2022-03-22,3935
2022-03-23,5566
2022-03-24,3871
2022-03-25,4019
2022-03-26,3235
2022-03-27,3454
2022-03-28,3198
2022-03-29,4211
2022-03-30,3806
2022-03-31,2971
2022-04-01,3069
2022-04-02,2588
2022-04-03,2486
2022-04-04,2872
2022-04-05,2726
2022-04-06,2825
2022-04-07,2884
2022-04-08,2890
2022-04-09,2671
2022-04-10,2476
2022-04-11,2717
2022-04-12,2570
2022-04-13,2352
2022-04-14,2143
2022-04-15,2190
2022-04-16,2526
2022-04-17,2502
2022-04-18,3525
2022-04-19,2987
2022-04-20,2670
2022-04-21,2939
2022-04-22,2766
2022-04-23,2671
2022-04-24,2395
2022-04-25,2861
2022-04-26,2938
2022-04-27,2930
2022-04-28,2697
2022-04-29,2580
2022-04-30,2450
2022-05-01,2434
2022-05-02,2516
2022-05-03,2731
2022-05-04,2880
2022-05-05,2814
2022-05-06,2370
2022-05-07,2070
2022-05-08,2545
2022-05-09,2990
2022-05-10,2662
2022-05-11,2588
2022-05-12,2718
2022-05-13,2534
2022-05-14,2518
2022-05-15,2407
2022-05-16,2869
2022-05-17,2637
2022-05-18,2562
2022-05-19,2733
2022-05-20,2432
2022-05-21,1968
2022-05-22,2074
2022-05-23,2441
2022-05-24,2751
2022-05-25,2568
2022-05-26,2271
2022-05-27,2452
2022-05-28,2161
2022-05-29,2170
2022-05-30,2402
2022-05-31,2371
2022-06-01,2357
