state,edu,age,female,black,sum,size,edu_age,edu_female,edu_black,female_black
1,1,2,1,1,1,1,2,2,2,4
1,1,3,1,0,1,1,3,2,1,3
1,1,4,0,0,1,1,4,1,1,1
1,1,4,1,0,1,3,4,2,1,3
1,2,1,0,0,2,2,5,3,3,1
1,2,1,0,1,1,1,5,3,4,2
1,2,1,1,1,1,1,5,4,4,4
1,2,2,0,0,4,4,6,3,3,1
1,2,2,0,1,0,1,6,3,4,2
1,2,2,1,0,1,1,6,4,3,3
1,2,3,1,0,1,1,7,4,3,3
1,2,3,1,1,0,1,7,4,4,4
1,2,4,1,0,1,1,8,4,3,3
1,3,1,0,0,0,1,9,5,5,1
1,3,1,1,0,1,1,9,6,5,3
1,3,1,1,1,1,1,9,6,6,4
1,3,2,0,0,0,1,10,5,5,1
1,3,2,1,0,1,3,10,6,5,3
1,3,3,0,0,1,1,11,5,5,1
1,4,1,1,0,1,1,13,8,7,3
1,4,2,0,0,1,2,14,7,7,1
1,4,2,1,0,1,1,14,8,7,3
1,4,3,1,0,0,2,15,8,7,3
1,4,4,1,0,1,2,16,8,7,3
3,1,3,1,0,0,2,3,2,1,3
3,2,1,0,0,0,1,5,3,3,1
3,2,1,1,0,0,1,5,4,3,3
3,2,2,0,0,0,1,6,3,3,1
3,2,2,1,0,1,2,6,4,3,3
3,2,3,0,0,2,2,7,3,3,1
3,2,3,1,0,4,6,7,4,3,3
3,2,4,0,0,1,1,8,3,3,1
3,2,4,1,0,1,1,8,4,3,3
3,3,1,0,0,0,1,9,5,5,1
3,3,2,0,0,1,2,10,5,5,1
3,3,2,1,0,1,2,10,6,5,3
3,3,3,0,0,3,3,11,5,5,1
3,3,3,1,0,1,1,11,6,5,3
3,3,4,1,0,1,1,12,6,5,3
3,4,1,0,0,3,3,13,7,7,1
3,4,2,0,0,1,2,14,7,7,1
3,4,3,1,0,1,2,15,8,7,3
3,4,4,0,0,2,2,16,7,7,1
3,4,4,1,0,0,1,16,8,7,3
4,1,4,0,0,0,1,4,1,1,1
4,1,4,1,0,0,1,4,2,1,3
4,2,1,1,0,1,2,5,4,3,3
4,2,2,0,0,1,1,6,3,3,1
4,2,3,1,0,2,2,7,4,3,3
4,2,4,0,0,0,2,8,3,3,1
4,2,4,1,0,1,1,8,4,3,3
4,3,3,0,0,0,1,11,5,5,1
4,3,4,1,0,0,2,12,6,5,3
4,4,2,0,0,0,1,14,7,7,1
4,4,2,1,0,0,1,14,8,7,3
4,4,3,1,0,1,1,15,8,7,3
5,1,1,0,0,1,4,1,1,1,1
5,1,1,1,0,2,4,1,2,1,3
5,1,2,0,0,1,1,2,1,1,1
5,1,2,1,0,1,2,2,2,1,3
5,1,3,0,0,0,1,3,1,1,1
5,1,3,1,0,1,2,3,2,1,3
5,1,4,0,0,2,6,4,1,1,1
5,1,4,0,1,0,1,4,1,2,2
5,1,4,1,0,0,2,4,2,1,3
